state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,international_plan_flag,voice_mail_plan_flag,total_traffic_minutes,total_calls,total_cost,avg_minutes_per_call,capacity_risk,incident_level,cost_per_minute,calls_per_minute
LA,117,408,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,0,0,760.6000000000001,271,73.32,2.8066420664206646,Critical,Low,0.09639758085721796,0.35629765974230865
IN,65,415,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,0,0,579.1000000000001,337,54.2,1.71839762611276,Warning,High,0.0935935071662925,0.5819374892073906
NY,161,415,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,0,0,816.7,301,92.29,2.7132890365448508,Critical,High,0.11300355087547446,0.36855638545365493
SC,111,415,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,0,0,445.0,316,41.05,1.4082278481012658,Normal,Medium,0.09224719101123595,0.7101123595505618
HI,49,510,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,0,0,524.1999999999999,317,49.6,1.6536277602523657,Normal,Low,0.09462037390309044,0.6047310186951546
AK,36,408,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,0,1,452.6,323,48.42,1.4012383900928793,Normal,Low,0.1069818824569156,0.7136544410075121
MI,65,415,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,0,0,521.8,365,59.36000000000001,1.4295890410958902,Normal,Medium,0.11376006132617864,0.6995017247987735
ID,119,415,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,0,0,542.3999999999999,325,55.53,1.6689230769230765,Normal,High,0.10237831858407083,0.5991887905604721
VA,10,408,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,0,0,670.4999999999999,241,63.620000000000005,2.782157676348547,Warning,Medium,0.09488441461595826,0.3594332587621179
WI,68,415,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,0,0,537.2,340,55.36000000000001,1.58,Normal,Medium,0.10305286671630678,0.6329113924050632
MN,74,510,No,Yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,0,1,592.4,282,64.0,2.100709219858156,Warning,Medium,0.10803511141120865,0.4760297096556381
HI,85,415,No,No,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,0,0,593.2,305,65.16,1.9449180327868854,Warning,Low,0.10984490896830747,0.51416048550236
MN,46,415,No,No,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,0,0,564.2,292,60.57,1.932191780821918,Warning,Medium,0.10735554767812831,0.5175469691598723
VT,128,510,No,Yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,0,1,736.8000000000001,275,66.53999999999999,2.6792727272727275,Critical,Low,0.09030944625407164,0.37323561346362644
LA,155,415,No,No,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,0,0,599.1999999999999,327,62.03,1.8324159021406725,Warning,Low,0.10352136181575436,0.5457276368491323
